,Nome,SMILES,SMILES_Canonic
19,CAS_NuBBE_jyqtn,O=C1O[C@H](C=C(C1)C=O)[C@@H]1C(=C)CC[C@@H]2[C@]1(CCCC2(C)C)C,C=C1CC[C@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1[C@H]1C=C(C=O)CC(=O)O1
20,CAS_NuBBE_jyrdz,[Si](Oc1c(O[Si](C)(C)C)ccc(c1)[C@H]1Oc2c([C@@H]([C@H]1O[Si](C)(C)C)c1c3O[C@@H](c4cc(O[Si](C)(C)C)c(cc4)O[Si](C)(C)C)[C@H](Cc3c(cc1O[Si](C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C)ccc(c2)O[Si](C)(C)C)(C)(C)C,C[Si](C)(C)Oc1ccc2c(c1)O[C@H](c1ccc(O[Si](C)(C)C)c(O[Si](C)(C)C)c1)[C@H](O[Si](C)(C)C)[C@H]2c1c(O[Si](C)(C)C)cc(O[Si](C)(C)C)c2c1O[C@@H](c1ccc(O[Si](C)(C)C)c(O[Si](C)(C)C)c1)[C@@H](O[Si](C)(C)C)C2
21,CAS_NuBBE_jyavm,O1c2c(c(O)cc(c2)O)C[C@@H]([C@H]1c1cc(O)c(cc1)O)O,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2
22,CAS_NuBBE_jyrea,S([C@@H]1c2c(O[C@H]([C@H]1O)c1cc(O)c(cc1)O)cc(cc2)O)Cc1ccccc1,Oc1ccc2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@@H](O)[C@@H]2SCc1ccccc1
23,CAS_NuBBE_jyrdx,[Si](Oc1c(O[Si](C)(C)C)ccc(c1)[C@@H]1Oc2c(c(O[Si](C)(C)C)cc(c2C[C@@H]1O[Si](C)(C)C)O[Si](C)(C)C)[C@H]1c2c(O[C@@H]([C@@H]1O[Si](C)(C)C)c1ccc(cc1)O[Si](C)(C)C)cc(cc2)O[Si](C)(C)C)(C)(C)C,C[Si](C)(C)Oc1ccc([C@H]2Oc3cc(O[Si](C)(C)C)ccc3[C@H](c3c(O[Si](C)(C)C)cc(O[Si](C)(C)C)c4c3O[C@@H](c3ccc(O[Si](C)(C)C)c(O[Si](C)(C)C)c3)[C@@H](O[Si](C)(C)C)C4)[C@H]2O[Si](C)(C)C)cc1
24,CAS_NuBBE_jyreo,O=C(Oc1c(OC(=O)C)ccc(c1)[C@@H]1Oc2c([C@H]([C@@H]1OC(=O)C)c1c3O[C@H](c4cc(OC(=O)C)c(cc4)OC(=O)C)[C@@H](Cc3c(cc1OC(=O)C)OC(=O)C)OC(=O)C)ccc(c2)OC(=O)C)C,CC(=O)Oc1ccc2c(c1)O[C@@H](c1ccc(OC(C)=O)c(OC(C)=O)c1)[C@@H](OC(C)=O)[C@@H]2c1c(OC(C)=O)cc(OC(C)=O)c2c1O[C@H](c1ccc(OC(C)=O)c(OC(C)=O)c1)[C@H](OC(C)=O)C2
25,NUBBE_1269 # Clausarin,O=C1C(=Cc2c(O)c3C=CC(C)(C)Oc3c(C(C=C)(C)C)c2O1)C(C)(C)C=C,C=CC(C)(C)c1cc2c(O)c3c(c(C(C)(C)C=C)c2oc1=O)OC(C)(C)C=C3
26,CAS_NuBBE_jyrei,O1c2c(c(OC)cc(c2C[C@@H]([C@H]1c1cc(OC)c(cc1)OC)O)OC)[C@H]1c2c(O[C@H]([C@@H]1O)c1cc(OC)c(cc1)OC)cc(cc2)OC,COc1ccc2c(c1)O[C@@H](c1ccc(OC)c(OC)c1)[C@H](O)[C@H]2c1c(OC)cc(OC)c2c1O[C@H](c1ccc(OC)c(OC)c1)[C@@H](O)C2
27,CAS_NuBBE_jyrdy,O=C(Oc1c(OC(=O)C)ccc(c1)[C@H]1Oc2c(c(OC(=O)C)cc(c2C[C@H]1OC(=O)C)OC(=O)C)[C@@H]1c2c(O[C@@H]([C@H]1OC(=O)C)c1ccc(cc1)OC(=O)C)cc(cc2)OC(=O)C)C,CC(=O)Oc1ccc([C@H]2Oc3cc(OC(C)=O)ccc3[C@@H](c3c(OC(C)=O)cc(OC(C)=O)c4c3O[C@H](c3ccc(OC(C)=O)c(OC(C)=O)c3)[C@H](OC(C)=O)C4)[C@@H]2OC(C)=O)cc1
28,CAS_NuBBE_jyrdw,O1c2c(c(OC)cc(c2C[C@@H]([C@H]1c1cc(OC)c(cc1)OC)O)OC)[C@H]1c2c(O[C@@H]([C@@H]1O)c1ccc(cc1)OC)cc(cc2)OC,COc1ccc([C@H]2Oc3cc(OC)ccc3[C@H](c3c(OC)cc(OC)c4c3O[C@H](c3ccc(OC)c(OC)c3)[C@@H](O)C4)[C@H]2O)cc1
29,CAS_NuBBE_jygbo,O=C1[C@H]2C([C@H](C2)CC1)(C)C,CC1(C)[C@H]2CCC(=O)[C@@H]1C2
30,CAS_NuBBE_jyrey,O=C1OC([C@@]23[C@@]1(O)CC[C@@H]2C3)(C)C,CC1(C)OC(=O)[C@]2(O)CC[C@@H]3C[C@]312
31,CAS_NuBBE_jybbw,C1(=C)[C@H]2C([C@H](C2)CC1)(C)C,C=C1CC[C@H]2C[C@@H]1C2(C)C
32,CAS_NuBBE_jyrfi,O=C1[C@@]2(C(O)(C)C)[C@H](C2)CC1,CC(C)(O)[C@@]12C[C@@H]1CCC2=O
33,CAS_NuBBE_jxoux,O=C(O)[C@]1(O)[C@H]2C([C@H](C2)CC1)(C)C,CC1(C)[C@H]2CC[C@](O)(C(=O)O)[C@@H]1C2
34,CAS_NuBBE_jyrez,O1C([C@]23[C@@](C1)(O)CC[C@H]2C3)(C)C,CC1(C)OC[C@]2(O)CC[C@H]3C[C@@]312
35,CAS_NuBBE_jyrfa,O=C1OC(CC2=C1C[C@@H]1[C@@H]2[C@@]23C(=O)OC(CC2=C[C@@H]1C3)(C)C)(C)C,CC1(C)CC2=C(C[C@H]3[C@@H]4C=C5CC(C)(C)OC(=O)[C@]5(C4)[C@H]23)C(=O)O1
36,NUBBE_1270 # Nordentatin,O=C1C=Cc2c(O)c3C=CC(C)(C)Oc3c(C(C=C)(C)C)c2O1,C=CC(C)(C)c1c2c(c(O)c3ccc(=O)oc13)C=CC(C)(C)O2
37,CAS_NuBBE_jyndb,O=C(OCC1=C[C@]23C[C@H]1CC[C@@H]2[C@@]1([C@@H](CC3)C(CCC1)(C)C)C)C,CC(=O)OCC1=C[C@@]23CC[C@H]4C(C)(C)CCC[C@]4(C)[C@H]2CC[C@@H]1C3
38,CAS_NuBBE_jynck,O=C(OC[C@@]12O[C@@H]1[C@]13C[C@@H]2CC[C@@H]1[C@@]1([C@@H](CC3)C(CCC1)(C)C)C)C,CC(=O)OC[C@@]12O[C@@H]1[C@@]13CC[C@H]4C(C)(C)CCC[C@]4(C)[C@H]1CC[C@H]2C3
39,CAS_NuBBE_jxsiu,O=C1[C@H]2CC[C@H]3[C@](C1)(C2)CC[C@@H]1[C@@]3(CCCC1(C)C)C,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@]13CC(=O)[C@@H](CC[C@@H]12)C3
40,CAS_NuBBE_jylzk,O=C(OC[C@]1(O)[C@@H]2CC[C@H]3[C@](C1)(C2)CC[C@@H]1[C@@]3(CCCC1(C)C)C)C,CC(=O)OC[C@@]1(O)C[C@@]23CC[C@H]4C(C)(C)CCC[C@]4(C)[C@H]2CC[C@@H]1C3
41,CAS_NuBBE_jyuab,O=C1[C@]2(c3c(c(c(c(c3)O[C@H]3O[C@H]([C@@H]([C@H]([C@@H]3OC(=O)C)OC(=O)C)OC(=O)C)COC(=O)C)OC(=O)C)C)CC[C@@H]2[C@@]2([C@](C1)([C@@H]([C@@](O)([C@@H](OC(=O)C)/C=C/C(O)(C)C)C)[C@@H](C2)OC(=O)C)C)C)C,CC(=O)OC[C@@H]1O[C@H](Oc2cc3c(c(C)c2OC(C)=O)CC[C@H]2[C@@]3(C)C(=O)C[C@]3(C)[C@@H]([C@@](C)(O)[C@H](/C=C/C(C)(C)O)OC(C)=O)[C@H](OC(C)=O)C[C@]23C)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O
42,CAS_NuBBE_jyuac,O=C1[C@]2(c3c(c(c(c(c3)O[C@H]3O[C@H]([C@@H]([C@H]([C@@H]3OC(=O)C)OC(=O)C)OC(=O)C)COC(=O)C)OC(=O)C)C)CC[C@@H]2[C@@]2([C@](C1)([C@@H]([C@@](O)([C@H](OC(=O)C)/C=C/C(OC)(C)C)C)[C@@H](C2)OC(=O)C)C)C)C,COC(C)(C)/C=C/[C@@H](OC(C)=O)[C@](C)(O)[C@H]1[C@H](OC(C)=O)C[C@]2(C)[C@H]3CCc4c(cc(O[C@H]5O[C@@H](COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]5OC(C)=O)c(OC(C)=O)c4C)[C@]3(C)C(=O)C[C@]12C
43,CAS_NuBBE_jyusk,OC[C@@H]([C@@H]1[C@@H]2C=C(CC[C@@H]2[C@@H](CC1)C)C)C,CC1=C[C@@H]2[C@H](CC1)[C@H](C)CC[C@@H]2[C@@H](C)CO
44,CAS_NuBBE_jymuw,O=C(OC)C(=C)[C@@H]1[C@@H]2C=C(CC[C@@H]2[C@@H](CC1)C)C,C=C(C(=O)OC)[C@H]1CC[C@@H](C)[C@H]2CCC(C)=C[C@H]21
45,CAS_NuBBE_jxxfy,C1(=C[C@H]2[C@@H](CC1)[C@H](CC[C@H]2C(C)C)C)C,CC1=C[C@H]2[C@@H](CC1)[C@@H](C)CC[C@H]2C(C)C
46,CAS_NuBBE_jxyrv,O=C1[C@H]2[C@H]([C@H](CC[C@@H]2C(C)C)C)CC[C@H]1C,CC(C)[C@H]1CC[C@H](C)[C@@H]2CC[C@@H](C)C(=O)[C@@H]21
47,NUBBE_1271 # Limonyl acetate,CC1(C)[C@H]2C[C@H]([C@]3([C@@H]([C@]42[C@H](O1)CC(=O)OC4)CC[C@]1([C@@]23O[C@H]2C(=O)O[C@H]1c1cocc1)C)C)OC(=O)C,CC(=O)O[C@@H]1C[C@@H]2C(C)(C)O[C@@H]3CC(=O)OC[C@@]23[C@H]2CC[C@]3(C)[C@H](c4ccoc4)OC(=O)[C@@H]4O[C@@]43[C@]21C
48,CAS_NuBBE_jyusl,O1[C@@]2([C@H]1[C@@H]1[C@@H](CC2)[C@H](CC[C@@H]1C(C)C)C)C,CC(C)[C@H]1CC[C@H](C)[C@@H]2CC[C@]3(C)O[C@@H]3[C@H]21
49,CAS_NuBBE_jynhb,O=C(OC)[C@@H]([C@@H]1[C@@H]2C=C(CC[C@@H]2[C@@H](CC1)C)C)C,COC(=O)[C@H](C)[C@H]1CC[C@@H](C)[C@H]2CCC(C)=C[C@H]21
50,CAS_NuBBE_jyuri,O=C(O)[C@@]12[C@H](C3=CC[C@@H]4[C@]([C@]3(CC1)C)(CC[C@@H]1[C@]4(C[C@@H]([C@@H](C1(COC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)C)C)[C@@H](O)C(CC2)(C)C,CC(=O)OCC1(COC(C)=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C[C@]2(C)[C@H]1CC[C@]1(C)[C@H]2CC=C2[C@@H]3[C@@H](O)C(C)(C)CC[C@@]3(C(=O)O)CC[C@@]21C
51,CAS_NuBBE_jyurj,O=C(OC)[C@@]12[C@H](C3=CC[C@@H]4[C@]([C@]3(CC1)C)(CC[C@@H]1[C@]4(C[C@@H]([C@@H](C1(COC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)C)C)[C@@H](O)C(CC2)(C)C,COC(=O)[C@@]12CCC(C)(C)[C@H](O)[C@H]1C1=CC[C@H]3[C@]4(C)C[C@H](OC(C)=O)[C@H](OC(C)=O)C(COC(C)=O)(COC(C)=O)[C@@H]4CC[C@@]3(C)[C@@]1(C)CC2
52,CAS_NuBBE_jyuml,O=C(OC)[C@@]12[C@H](C3=CC[C@@H]4[C@]([C@]3(CC1)C)(CC[C@@H]1[C@@]4(CC[C@H](C1(COC(=O)C)COC(=O)C)OC(=O)C)C)C)[C@@H](O)C(CC2)(C)C,COC(=O)[C@@]12CCC(C)(C)[C@H](O)[C@H]1C1=CC[C@H]3[C@@]4(C)CC[C@@H](OC(C)=O)C(COC(C)=O)(COC(C)=O)[C@@H]4CC[C@@]3(C)[C@@]1(C)CC2
53,CAS_NuBBE_jyvxq,O=C(OC)[C@]1([C@@H]2[C@]([C@H]3C(=C([C@@H](CC3)O)C(C)C)CC2)(CCC1)C)C,COC(=O)[C@]1(C)CCC[C@@]2(C)[C@@H]3CC[C@@H](O)C(C(C)C)=C3CC[C@@H]21
54,CAS_NuBBE_jyvus,O=C1O[C@H](c2cocc2)[C@@]2([C@]3(C1)O[C@@H]1[C@]3(O)[C@@H](CC2)[C@@]2([C@@]3([C@H]1C(=O)[C@]([C@H]2[C@@H](OC(=O)C)C(=O)OC)(C3)C)OC(=O)C)C)C,COC(=O)[C@H](OC(C)=O)[C@H]1[C@]2(C)[C@@H]3CC[C@]4(C)[C@@H](c5ccoc5)OC(=O)C[C@]45O[C@@H]([C@@H]4C(=O)[C@@]1(C)C[C@@]42OC(C)=O)[C@]35O
55,CAS_NuBBE_jyvui,O=C1O[C@H](C=C1C[C@H](O)CCCCCCC[C@H](O)CC[C@H](O)[C@@H]1O[C@@H](CC1)[C@@H]1O[C@H](CC1)[C@H](O)CCCCCCCCCC)C,CCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@@H]2CC[C@H]([C@@H](O)CC[C@@H](O)CCCCCCC[C@@H](O)CC3=C[C@H](C)OC3=O)O2)O1
56,CAS_NuBBE_jyvvg,O=C(C(O)(C)C)[C@@H](OC(=O)C)C[C@@H]([C@H]1[C@@]2(C(=CC1)[C@@]1([C@H](OC(=O)C)C[C@@H]([C@@]([C@H]1CC2)([C@H](OC(=O)C)CC(=O)OC)C)C(=C)C)C)C)COC(=O)C,C=C(C)[C@H]1C[C@@H](OC(C)=O)[C@@]2(C)C3=CC[C@@H]([C@@H](COC(C)=O)C[C@H](OC(C)=O)C(=O)C(C)(C)O)[C@@]3(C)CC[C@@H]2[C@@]1(C)[C@@H](CC(=O)OC)OC(C)=O
57,CAS_NuBBE_jyvzo,O=C1C(=C(OC)C(C(=C1CC=C(C)C)OC)(CC=C(C)C)CC=C(C)C)C(=O)c1ccccc1,COC1=C(CC=C(C)C)C(=O)C(C(=O)c2ccccc2)=C(OC)C1(CC=C(C)C)CC=C(C)C
58,NUBBE_1272 # Isoscopoletin,O=C1C=Cc2c(O1)cc(c(c2)O)OC,COc1cc2oc(=O)ccc2cc1O
59,CAS_NuBBE_jyvzq,O=C1C(=C(OC)[C@]2(C(=O)[C@@]1(C([C@H](C2)CC=C(C)C)(C)C)CC=C(C)C)C(=O)c1cc(OC)ccc1)CC=C(C)C,COC1=C(CC=C(C)C)C(=O)[C@]2(CC=C(C)C)C(=O)[C@@]1(C(=O)c1cccc(OC)c1)C[C@H](CC=C(C)C)C2(C)C
60,CAS_NuBBE_jyvzn,O=C1C(=C(OC)[C@@]2(C(=O)[C@]1(C([C@H](C2)CC=C(C)C)(C)C)CC=C(C)C)CC=C(C)C)C(=O)c1ccccc1,COC1=C(C(=O)c2ccccc2)C(=O)[C@@]2(CC=C(C)C)C(=O)[C@]1(CC=C(C)C)C[C@H](CC=C(C)C)C2(C)C
61,CAS_NuBBE_jyvzp,O=C1C(=C(OC)[C@]2(C(=O)[C@@]1(C([C@H](C2)CC=C(C)C)(C)C)CC=C(C)C)C(=O)c1ccccc1)CC=C(C)C,COC1=C(CC=C(C)C)C(=O)[C@]2(CC=C(C)C)C(=O)[C@@]1(C(=O)c1ccccc1)C[C@H](CC=C(C)C)C2(C)C
62,CAS_NuBBE_jylfh,O=C(OC[C@@]1([C@H]2[C@@]([C@H]3[C@]4(CC2)C[C@@]2([C@H](C3)[C@@H]2C4)C)(CCC1)C)C)C,CC(=O)OC[C@@]1(C)CCC[C@]2(C)[C@@H]3C[C@@H]4[C@@H]5C[C@@]3(CC[C@@H]12)C[C@]45C
63,CAS_NuBBE_jygnf,O=C(OC)[C@]1([C@H]2[C@]([C@@H]3[C@@]4(CC2)CC(=C)[C@@H](C4)CC3)(CCC1)C)C,C=C1C[C@]23CC[C@@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OC)[C@H]2CC[C@@H]1C3
64,CAS_NuBBE_jygpb,O=C(OC[C@@]1([C@H]2[C@]([C@@H]3[C@@]4(CC2)CC(=C)[C@@H](C4)CC3)(CCC1)C)C)C,C=C1C[C@]23CC[C@H]4[C@@](C)(COC(C)=O)CCC[C@@]4(C)[C@H]2CC[C@@H]1C3
65,CAS_NuBBE_jxtsk,OC[C@@]1([C@H]2[C@]([C@@H]3[C@@]4(CC2)CC(=C)[C@@H](C4)CC3)(CCC1)C)C,C=C1C[C@]23CC[C@H]4[C@@](C)(CO)CCC[C@@]4(C)[C@H]2CC[C@@H]1C3
66,CAS_NuBBE_jyenp,OC[C@@]1([C@H]2[C@@]([C@H]3[C@]4(CC2)C[C@@]2([C@H](C3)[C@@H]2C4)C)(CCC1)C)C,C[C@]1(CO)CCC[C@]2(C)[C@@H]3C[C@@H]4[C@@H]5C[C@@]3(CC[C@@H]12)C[C@]45C
67,CAS_NuBBE_jyfmm,O=C(OC)[C@]1([C@H]2[C@@]([C@H]3[C@]4(CC2)C[C@@]2([C@H](C3)[C@@H]2C4)C)(CCC1)C)C,COC(=O)[C@]1(C)CCC[C@]2(C)[C@@H]3C[C@@H]4[C@@H]5C[C@@]3(CC[C@H]21)C[C@]45C
68,CAS_NuBBE_jywec,FC(F)(F)C(=O)O[C@@H](Cc1c(OC)c(O)c(cc1[C@@H](Cc1cc(OC)c(c(c1)OC)OC)C)OC)C,COc1cc([C@H](C)Cc2cc(OC)c(OC)c(OC)c2)c(C[C@@H](C)OC(=O)C(F)(F)F)c(OC)c1O
69,NUBBE_1273 # 7-demethylsuberosin,O=C1C=Cc2cc(c(O)cc2O1)CC=C(C)C,CC(C)=CCc1cc2ccc(=O)oc2cc1O
70,CAS_NuBBE_jywee,O=C(Oc1c(OC)c(c(cc1OC)[C@@H](Cc1cc(OC)c(c(c1)OC)OC)C)C[C@H](OC(=O)C)C)C,COc1cc(C[C@@H](C)c2cc(OC)c(OC(C)=O)c(OC)c2C[C@@H](C)OC(C)=O)cc(OC)c1OC
71,CAS_NuBBE_jywed,O(c1c(OC)cc(cc1OC)C[C@@H](c1c(c(OC)c(c(c1)OC)O)C[C@H](O)C)C)C,COc1cc([C@@H](C)Cc2cc(OC)c(OC)c(OC)c2)c(C[C@@H](C)O)c(OC)c1O
72,CAS_NuBBE_jyjdi,O(c1c(OC)cc(cc1OC)C[C@@H](c1c(c(OC)c(c(c1)OC)O)CC=C)C)C,C=CCc1c([C@@H](C)Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c(O)c1OC
73,CAS_NuBBE_jywiq,O=C1O[C@@H]([C@H]([C@H]1CCCCCCCCCCC#CCCCCCCCC)OC(=O)C)C,CCCCCCCCC#CCCCCCCCCCC[C@H]1C(=O)O[C@H](C)[C@H]1OC(C)=O
74,CAS_NuBBE_jywip,O=C1O[C@@H]([C@H]([C@H]1CCCCCCCCCCC#CCCCCCCC=C)OC(=O)C)C,C=CCCCCCCC#CCCCCCCCCCC[C@H]1C(=O)O[C@H](C)[C@H]1OC(C)=O
75,CAS_NuBBE_jywit,O=C1O[C@H]([C@H]([C@H]1CCCCCCCCCCC1(OCCO1)CCCCCCCCC)O)C,CCCCCCCCCC1(CCCCCCCCCC[C@H]2C(=O)O[C@@H](C)[C@H]2O)OCCO1
76,CAS_NuBBE_jywis,O=C1O[C@@H](C=C1CCCCCCCCCCC#CCCCCCCCC)C,CCCCCCCCC#CCCCCCCCCCCC1=C[C@@H](C)OC1=O
77,CAS_NuBBE_jywir,O=C1O[C@@H](C=C1CCCCCCCCCCC#CCCCCCCC=C)C,C=CCCCCCCC#CCCCCCCCCCCC1=C[C@@H](C)OC1=O
78,CAS_NuBBE_jywiu,O=C1O[C@H]([C@H]([C@H]1CCCCCCCCCCCC1(OCCO1)CCCCCCCC)O)C,CCCCCCCCC1(CCCCCCCCCCC[C@H]2C(=O)O[C@@H](C)[C@H]2O)OCCO1
79,CAS_NuBBE_jywio,O=C1O[C@H]([C@H]([C@H]1CCCCCCCCCCCCCCCCCCCC)O)C,CCCCCCCCCCCCCCCCCCCC[C@H]1C(=O)O[C@@H](C)[C@H]1O
80,NUBBE_1274 # Trans-kellactone,O=C1C=Cc2c(O1)c1c(cc2)OC([C@@H]([C@H]1O)O)(C)C,CC1(C)Oc2ccc3ccc(=O)oc3c2[C@H](O)[C@H]1O
81,CAS_NuBBE_jywiz,O=C(OC)[C@]12[C@H](CCC(=C[C@H]3[C@H](CC1)C(=C)CC[C@@H]3C(C)C)C)CC=C([C@@H]2C[C@@H]1C(=C)CC[C@H]2[C@@]1(CCC[C@@]2(C(=O)OC)C)C)C,C=C1CC[C@H](C(C)C)[C@H]2C=C(C)CC[C@@H]3CC=C(C)[C@H](C[C@@H]4C(=C)CC[C@H]5[C@]4(C)CCC[C@]5(C)C(=O)OC)[C@]3(C(=O)OC)CC[C@H]12
82,CAS_NuBBE_jxvzu,NCCCC(C)C,CC(C)CCCN
83,CAS_NuBBE_jxzdr,S=C(NCCC(=C)C)N,C=C(C)CCNC(N)=S
84,CAS_NuBBE_jxrvl,O=C(O)CCC(=C)C,C=C(C)CCC(=O)O
85,CAS_NuBBE_jxuxj,O=C1OC[C@]2(C1)[C@]1([C@H]([C@]3([C@@H](CC1)C([C@H](CC3)OC(=O)C)(C)C)C)CC[C@H]2/C=C(/C=C/C=C(C)C)\C)C,CC(=O)O[C@H]1CC[C@]2(C)[C@@H](CC[C@]3(C)[C@H]2CC[C@@H](/C=C(C)/C=C/C=C(C)C)[C@]32COC(=O)C2)C1(C)C
